original_air_date,views,imdb_rating,imdb_votes
1994-02-10,58716,8.3,1171
1994-03-17,69996,8.5,1191
1994-04-14,81678,8.4,1143
1995-11-26,61246,8,1023
1994-12-04,64719,8,1060
1996-03-24,57830,8.2,1103
1995-02-05,67619,8.6,1221
1995-10-01,70120,8.3,1088
1996-02-04,58572,7.7,962
1995-02-19,80724,8.5,1353
1995-11-05,81426,9,1633
1994-05-19,67959,8,1060
1994-09-11,54225,8.1,1156
1995-03-05,71936,8.5,1223
1995-03-19,74266,8.3,1190
1994-09-25,42576,6,1051
1995-10-15,69245,8.5,1288
1995-04-16,74788,8.1,1004
1994-10-09,76932,8.3,1142
1994-11-06,62450,8,1150
1995-09-17,67579,8.9,1497
1995-05-07,79777,8.2,1003
1996-02-25,68354,8.9,1609
1994-11-27,71577,9,1655
1995-01-08,71002,8.9,1457
1995-12-03,56153,7.5,1038
1996-01-14,64224,8.7,1264
1996-02-18,58795,8.1,1039
1995-11-19,61085,8.5,1226
1996-04-28,69120,8.3,1122
1996-05-19,60569,8,1095
1997-10-19,20008,8.1,980
1997-02-07,57608,7.7,1088
1996-10-27,102077,8.3,1186
1997-02-23,56659,8.2,1100
1996-11-10,61146,8,1085
1996-11-24,60210,8.2,1098
1998-05-10,55316,7.7,880
1998-04-19,21811,7.9,905
1997-12-07,25183,7.5,888
1997-04-20,56833,7.9,967
1996-12-01,60956,8,1008
1997-03-02,54247,8.1,1020
1998-02-22,20298,7.5,878
1997-11-02,30921,8.2,1081
1997-04-06,60584,8.2,995
1996-12-29,66281,8.8,1268
1998-03-29,23127,8.3,1026
1997-05-11,57926,7.3,1006
1997-09-21,62962,9.1,1918
1997-12-21,19899,7.6,958
1998-05-03,60952,8.3,962
1998-02-15,32487,8.1,1036
1998-08-23,56018,7.6,932
1998-01-11,22426,7.7,938
1998-03-08,21608,8,957
1996-03-17,57809,8,1016
1998-11-08,43485,7.3,934
1998-11-22,50013,8,909
1998-12-06,50300,7.3,863
2000-11-19,39480,7.2,731
1999-01-31,50051,6.9,880
1999-03-28,54195,7.6,843
1999-11-14,44615,7.3,759
1999-04-04,47155,7.3,851
2001-02-11,51004,6.9,730
1999-01-10,56561,7.8,928
1999-10-31,47980,7.7,876
2000-05-07,47061,7.2,716
1999-10-03,44172,7.5,776
1999-04-25,47550,7.3,779
2000-03-19,75315,7,780
1999-09-26,34394,7.3,917
1999-05-09,47951,7.3,804
1999-02-07,55726,7.7,882
1999-11-28,41484,7.1,775
2000-01-09,48194,7.3,715
2000-01-16,43869,6.9,734
2001-02-04,49893,7.5,761
